Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-6-20	16.635598324837385	5.488525286014605	5.321909962179506	689.9359001457374	0.8567517195448358	 	 	0.0	16.635598324837385	5.321909962179506	689.0791484261925	
2000-6-21	8.696386866783735	5.520420266639337	5.34898333557038	689.0791484261925	0.5258114883189997	 	 	0.0	8.696386866783735	5.34898333557038	688.5533369378735	
2000-6-22	10.894646448338086	5.5530380773343335	5.376835977611459	688.5533369378735	0.9002968390062845	 	 	0.0	10.894646448338086	5.376835977611459	687.6530400988672	
2000-6-23	8.247596996106465	5.586369105481068	5.405476517916983	687.6530400988672	0.8302196158382907	 	 	0.0	8.247596996106465	5.405476517916983	686.822820483029	
2000-6-24	14.416449395447819	5.620403528272559	5.434892480966985	686.822820483029	0.6670550588909898	 	 	0.0	14.416449395447819	5.434892480966985	686.1557654241379	
2000-6-25	7.591589401881735	5.655131315608193	5.465067139598787	686.1557654241379	0.9470996800652515	 	 	0.0	7.591589401881735	5.465067139598787	685.2086657440728	
2000-6-26	10.13459488768039	5.690542233049644	5.496004997035818	685.2086657440728	0.8326082849990135	 	 	0.0	10.13459488768039	5.496004997035818	684.3760574590738	
2000-6-27	12.265540532856464	5.726625844837007	5.527690349171921	684.3760574590738	0.6210590015678076	 	 	0.0	12.265540532856464	5.527690349171921	683.7549984575061	
2000-6-28	11.576449755126717	5.763371516964267	5.560102912265825	683.7549984575061	0.7909847521301501	 	 	0.0	11.576449755126717	5.560102912265825	682.9640137053759	
2000-6-29	11.836926691525463	5.800768420313188	5.593242329013175	682.9640137053759	0.7831123212151846	 	 	0.0	11.836926691525463	5.593242329013175	682.1809013841606	
2000-6-30	10.5560593277718	5.8388055338447025	5.627098087865152	682.1809013841606	0.7697534470292224	 	 	0.0	10.5560593277718	5.627098087865152	681.4111479371315	
2000-7-1	25.16486286403786	5.877471647846864	5.661659225078153	681.4111479371315	0.7882121925110258	 	 	0.0	25.16486286403786	5.661659225078153	680.6229357446203	
2000-7-2	19.755357059583563	5.916755367238403	5.696916362431863	680.6229357446203	0.976538203542954	 	 	0.0	19.755357059583563	5.696916362431863	679.6463975410774	
2000-7-3	20.07184208383676	5.956645114926902	5.732869261327085	679.6463975410774	0.8078422350504854	 	 	0.0	20.07184208383676	5.732869261327085	678.8385553060269	
2000-7-4	15.17026827487097	5.997129135220626	5.769496483153077	678.8385553060269	0.7847744242134167	 	 	0.0	15.17026827487097	5.769496483153077	678.0537808818136	
2000-7-5	19.505454396889924	6.038195497292976	5.8067856953387045	678.0537808818136	0.9762603284691761	 	 	0.0	19.505454396889924	5.8067856953387045	677.0775205533444	
2000-7-6	23.16144596003645	6.079832098698556	5.844737087804447	677.0775205533444	0.943477565981233	 	 	0.0	23.16144596003645	5.844737087804447	676.1340429873633	
2000-7-7	18.31676984564074	6.122026668939822	5.8833362746033275	676.1340429873633	0.9497412959239977	 	 	0.0	18.31676984564074	5.8833362746033275	675.1843016914393	
2000-7-8	21.80668065300107	6.164766773083253	5.92257135800366	675.1843016914393	0.727602550002715	 	 	0.0	21.80668065300107	5.92257135800366	674.4566991414364	
2000-7-9	17.360549790093998	6.208039815423985	5.962416150020674	674.4566991414364	0.8128287727586457	 	 	0.0	17.360549790093998	5.962416150020674	673.6438703686778	
2000-7-10	24.03147169346633	6.251833043197816	6.002864965502569	673.6438703686778	0.9147681343597569	 	 	0.0	24.03147169346633	6.002864965502569	672.729102234318	
2000-7-11	18.59734842310909	6.2961335503395155	6.043912396752451	672.729102234318	0.6687146418132408	 	 	0.0	18.59734842310909	6.043912396752451	672.0603875925048	
2000-7-12	23.07552553177297	6.340928281286291	6.085529607230708	672.0603875925048	0.7585302225687618	 	 	0.0	23.07552553177297	6.085529607230708	671.3018573699361	
2000-7-13	20.092506201566618	6.386204034825326	6.127711332252487	671.3018573699361	0.7047843760306091	 	 	0.0	20.092506201566618	6.127711332252487	670.5970729939054	
2000-7-14	22.025837526635684	6.43194746798424	6.170441791052352	670.5970729939054	0.8261597092609695	 	 	0.0	22.025837526635684	6.170441791052352	669.7709132846444	
2000-7-15	14.290707041149206	6.478145099963321	6.213717202286114	669.7709132846444	0.5842751741465875	 	 	0.0	14.290707041149206	6.213717202286114	669.1866381104979	
2000-7-16	21.390388339406375	6.524783316108381	6.25750773864572	669.1866381104979	0.7234686501458523	 	 	0.0	21.390388339406375	6.25750773864572	668.463169460352	
